control_id,family,nist_req_id,title,classification,pilot_status,pilot_status_basis,owner_role,implementation_domain,responsibility,inheritance_source,evidence_location,evidence_regeneration,auditor_requirement
AC.L2-3.1.1,AC,3.1.1,"Limit system access to authorized users, processes, devices",System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.1\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.1\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.10,AC,3.1.10,Session lock,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.10\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.10\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.11,AC,3.1.11,Automatic session termination,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.11\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:\hardening\codex-scripts\Test-CuiHardening.ps1; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.11\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:...
AC.L2-3.1.12,AC,3.1.12,Monitor remote access,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.12\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.12\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.13,AC,3.1.13,Cryptographic remote access,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.13\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.13\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.14,AC,3.1.14,Managed access control points,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.14\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.14\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.15,AC,3.1.15,Authorize remote privileged commands,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.15\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.15\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.16,AC,3.1.16,Authorize wireless access,Not Applicable,N/A (Documented),Boundary-tied N/A determination (documented).,ISSO,process_only,customer,,TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index,Update boundary statement + record rationale; re-approve,Show: N/A justification memo for AC 3.1.16. Location: TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index. Regenerate: Update boundary statement + record rationale; re-approve
AC.L2-3.1.17,AC,3.1.17,Protect wireless access,Not Applicable,N/A (Documented),Boundary-tied N/A determination (documented).,ISSO,process_only,customer,,TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index,Update boundary statement + record rationale; re-approve,Show: N/A justification memo for AC 3.1.17. Location: TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index. Regenerate: Update boundary statement + record rationale; re-approve
AC.L2-3.1.18,AC,3.1.18,Control mobile devices,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.18\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.18\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
