nist_control_id,cmmc_l2_control_id,nist_family_code,nist_family_full_name,control_title,sprs_weight_1_3_5,sprs_family_per_dod_table,control_bin_pure_technical_pure_governance_hybrid_technical_hybrid_governance,is_hybrid_bin_yes_no,likely_na_boundary_questionnaire_yes_no,os_evidence_lane_collect_cui_evidence_v2_yes_no,os_support_level_STRONG_PARTIAL_na,os_evidence_files_pipe_separated,os_collector_note,azure_fedramp_pe_inheritance_lane_3_10_1_to_3_10_5_yes_no,azure_entra_seven_ui_lane_yes_no,cloud_lane_classification,governance_document_emphasis_heavy_or_ssp_reference,operational_register_ids_pipe_separated,operational_register_entries_required_yes_no,operational_register_cadence_hints_semicolon_separated,intelligence_disposition,intelligence_evidence_lanes_pipe,intelligence_cadence_type,intelligence_policy_doc_required_yes_no,intelligence_register_required_yes_no,intelligence_register_schema_id,intelligence_c3pao_examiner_note,intelligence_conmon_trigger,intelligence_na_rationale,validation_profile_codes_V_Z_C_D_E,validation_summary_for_cmm_c_platform,source_notes
3.1.1,AC.L2-3.1.1,AC,Access Control,"Limit system access to authorized users, processes, devices",3,Access Control,pure_technical,no,no,yes,STRONG,policy/local-accounts.txt|policy/local-groups.txt|policy/secpol.cfg,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,access_authorization|termination,yes,"access_authorization=Per request + periodic access reviews (e.g., quarterly); termination=Per offboarding event (same-day recommended)",implemented,OS_collector,continuous,no,yes,access_authorization,"Examiner will request the authorized user list and ask how access is granted, reviewed, and revoked. Will check that every account in the system appears on the register.",New account created outside normal provisioning process,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.2,AC.L2-3.1.2,AC,Access Control,Limit access to types of transactions and functions,3,Access Control,pure_technical,no,no,yes,STRONG,apps/applocker-policy.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,access_authorization|termination,yes,"access_authorization=Per request + periodic access reviews (e.g., quarterly); termination=Per offboarding event (same-day recommended)",implemented,OS_collector,continuous,no,no,,Examiner will test: can a standard user install software? Access admin shares? Run PowerShell as admin? Will check GPO for AppLocker and UAC.,Standard user granted admin rights,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.3,AC.L2-3.1.3,AC,Access Control,Control the flow of CUI,5,Access Control,pure_technical,no,no,yes,STRONG,network/firewall-rules-summary.txt|network/listening-ports.txt|policy/secpol.cfg,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,implemented,OS_collector,continuous,no,no,,Examiner will look at firewall rules and ask: can CUI flow to an unauthorized destination? Will check SMB signing and TLS version.,New firewall rule allows outbound CUI traffic to unapproved destination,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.4,AC.L2-3.1.4,AC,Access Control,Separate duties of individuals,1,Access Control,pure_governance,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,role_assignment_matrix|sod_matrix,yes,role_assignment_matrix=Update on role changes; review quarterly; sod_matrix=Update on role/process changes; review annually,partial,OS_collector|Governance_manifest,annual,yes,yes,sod_matrix,Examiner will ask: who approves admin account creation? Can the person who creates accounts also approve their own access? Wants to see documented roles.,Admin approves their own access or policy document not reviewed,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.5,AC.L2-3.1.5,AC,Access Control,Employ least privilege,5,Access Control,pure_technical,no,no,yes,STRONG,policy/local-groups.txt|policy/local-accounts.txt|policy/user-rights-assignments.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,access_authorization|role_assignment_matrix|termination,yes,"access_authorization=Per request + periodic access reviews (e.g., quarterly); role_assignment_matrix=Update on role changes; review quarterly; termination=Per offboarding event (same-day recommended)",implemented,OS_collector,continuous,no,yes,access_authorization,Examiner will ask for evidence of least privilege. Will check: do standard users have local admin? Is there a process to request elevated access? Are PIM audit logs reviewed?,PIM audit log shows elevated access not reviewed within 30 days,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.6,AC.L2-3.1.6,AC,Access Control,Use non-privileged accounts for non-privileged activities,3,Access Control,pure_technical,no,no,yes,STRONG,policy/local-accounts.txt|policy/local-admins.txt|policy/user-rights-assignments.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,access_authorization|termination,yes,"access_authorization=Per request + periodic access reviews (e.g., quarterly); termination=Per offboarding event (same-day recommended)",implemented,OS_collector|Governance_manifest,annual,yes,no,,Examiner will check: does the admin user also have a standard account? Are admin accounts used for email? Will ask admins directly.,Admin found using privileged account for standard tasks,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.7,AC.L2-3.1.7,AC,Access Control,Prevent non-privileged users from executing privileged functions,3,Access Control,pure_technical,no,no,yes,STRONG,policy/secpol.cfg|policy/user-rights-assignments.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,access_authorization|termination,yes,"access_authorization=Per request + periodic access reviews (e.g., quarterly); termination=Per offboarding event (same-day recommended)",implemented,OS_collector,continuous,no,yes,audit_log_review,"Examiner will ask to see evidence that privileged activity is being reviewed, not just logged. Will ask: when was the last review? What did you find?",Audit review not performed in the required period,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.8,AC.L2-3.1.8,AC,Access Control,Limit unsuccessful logon attempts,3,Access Control,pure_technical,no,no,yes,STRONG,policy/account-policy.txt|policy/secpol.cfg,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,implemented,OS_collector,continuous,no,no,,Examiner will check account lockout threshold and duration values. Will test by attempting failed logins if permitted.,Lockout policy GPO settings changed to less restrictive values,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.9,AC.L2-3.1.9,AC,Access Control,Display privacy and security notices,1,Access Control,pure_technical,no,no,yes,STRONG,policy/interactive-logon-notice.txt|policy/auth-ux-policy.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,implemented,OS_collector,continuous,no,no,,Examiner will log into a system and verify the banner appears before credentials are entered. Will check the banner text includes CUI handling notice.,Logon banner GPO removed or text changed,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.10,AC.L2-3.1.10,AC,Access Control,Use session lock after inactivity period,1,Access Control,pure_technical,no,no,yes,STRONG,policy/secpol.cfg|policy/rsop.xml|policy/machine-inactivity-limit.txt|policy/screensaver-policy.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,implemented,OS_collector,continuous,no,no,,Examiner will check the GPO value and may physically test by leaving a session idle.,Screen saver timeout GPO changed to longer period or disabled,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
